
Conex�es ativas

  Proto  Endere�o local         Endere�o externo       Estado           PID
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:60892  [2606:4700::6810:6670]:443  ESTABLISHED     19600
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:61992  [2600:1901:0:47fc::]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:62108  [2a06:98c1:3101::6812:202f]:443  ESTABLISHED     38636
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:62801  [2a06:98c1:3101::6812:202f]:443  ESTABLISHED     19600
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:63213  [2603:1030:210:f::1]:443  ESTABLISHED     16984
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:63384  [2606:4700::6810:5049]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:63826  [2001:4860:4841:400::]:443  CLOSE_WAIT      40536
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:63948  [2800:3f0:4001:845::200a]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:64157  [2001:4860:4843:400::]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:64414  [2800:3f0:4001:80d::200e]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:64451  [2a06:98c1:3101::6812:202f]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:65414  [2600:1901:0:47fc::]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:7c35:4be3:db9b:ac15]:50110  [2603:1030:210:f::1]:443  ESTABLISHED     5396
  TCP    [2804:7f1:ec43:f13:7c35:4be3:db9b:ac15]:50546  [2603:1061:13f5:41f::365:590]:443  ESTABLISHED     17620
  TCP    [2804:7f1:ec43:f13:7c35:4be3:db9b:ac15]:51684  [2a03:2880:f27c:1cd:face:b00c:0:167]:443  ESTABLISHED     19600
  TCP    [2804:7f1:ec43:f13:7c35:4be3:db9b:ac15]:52872  [2603:1061:13f5:416::365:590]:443  ESTABLISHED     17620
  TCP    [2804:7f1:ec43:f13:7c35:4be3:db9b:ac15]:56626  [2603:1061:13f5:415::365:590]:443  ESTABLISHED     17620
